3283(15545), 8208(2950)
991(10802), 9928(2710)
6288(6502), 8670(2803)
8626(6348), 7387(2203)
7750(4430), 6638(991)
9181(4521), 341(2866)
7240(15338), 5351(3915)
2548(7216), 7568(241)
3135(9715), 6966(2166)
2190(7444), 5933(2232)
4877(5967), 6805(1958)
4877(5968), 6805(1959)
702(10485), 7004(8333)
3867(3316), 6334(39)
2226(4795), 9519(636)
2434(12310), 6784(5132)
5328(1896), 8228(213)
5449(11453), 5969(3336)
9401(9714), 7230(8935)
8306(3554), 9332(2374)
9359(11659), 6001(7163)
3308(8644), 8153(289)
4761(4589), 5587(1924)
6050(404), 4656(191)
8504(11802), 5917(2482)
8063(11892), 8595(2337)
1765(13492), 4235(6498)
5879(4779), 3267(2833)
6856(3425), 3896(391)
1864(8224), 8598(3108)
2202(5335), 1600(1287)
5257(5565), 4449(3597)
9415(9973), 6018(287)
6415(6691), 8796(6639)
6058(11529), 31(4437)
1319(7402), 3889(613)
1600(11598), 8241(6443)
1600(11597), 8241(6442)
5939(9136), 3159(8263)
4108(806), 646(160)
2434(12307), 6784(5129)
8285(4871), 2987(337)
8285(4869), 2987(335)
5932(10877), 7723(7000)
8317(10068), 3641(4060)
8317(10067), 3641(4059)
8926(8432), 6221(371)
4795(11800), 3308(1394)
6774(4541), 9727(327)
6557(10382), 6288(3574)
3615(7598), 9845(6827)
3615(7599), 9845(6828)
3615(7600), 9845(6829)
1455(8146), 852(7023)
3304(9731), 2221(3266)
3567(18380), 7231(8291)
7068(19082), 1855(2582)
8900(11292), 7387(1860)
5982(10968), 2928(2074)
5154(12388), 5619(9835)
7919(8534), 8867(2472)
3898(3173), 9751(951)
4397(13450), 8739(8608)
3775(5337), 835(2482)
2860(1291), 6473(724)
2860(1292), 6473(726)
918(1251), 6066(335)
8259(7828), 7488(130)
1809(8217), 646(165)
6447(12544), 4506(8181)
4506(8181), 7523(2462)
8595(10100), 9690(7787)
8599(5757), 8365(129)
9506(4102), 1401(3098)
4076(9391), 37(4122)
4076(9392), 37(4123)
5296(17296), 142(1870)
260(6432), 6097(1500)
9349(3274), 6436(2907)
153(3591), 9204(990)
9672(4682), 6387(2961)
2780(13345), 8649(2312)
8651(7182), 4191(1761)
8651(7181), 4299(6449)
4299(6449), 4191(1760)
1344(6833), 5111(4903)
6226(6704), 6282(2065)
8175(4839), 5975(3604)
2036(11253), 7492(6846)
5187(2369), 3717(638)
931(13199), 9797(8344)
4069(2911), 7351(1068)
8336(1983), 6034(1456)
4072(7778), 1677(115)
5327(12500), 5717(2929)
6344(13269), 7158(2210)
